name,time_period
"Li, Tong",2019-2023
"Li, Tong",2020-2024
"Li, Wei",2012-2016
"Li, Wei",2014-2018
"Li, Wei",2015-2019
"Li, Wei",2016-2020
"Li, Wei",2017-2021
"Li, Wei",2018-2022
"Li, Wei",2019-2023
"Li, Wei",2020-2024
"Li, Xin",2015-2019
"Li, Xin",2016-2020
"Li, Xin",2017-2021
"Li, Xin",2018-2022
"Li, Xin",2019-2023
"Li, Xin",2020-2024
"Li, Xu",2020-2024
"Li, Yan",2008-2012
"Li, Yan",2009-2013
"Li, Yan",2010-2014
"Li, Yan",2011-2015
"Li, Yan",2012-2016
"Li, Yan",2013-2017
"Li, Yan",2014-2018
"Li, Yan",2015-2019
"Li, Yan",2016-2020
"Li, Yan",2017-2021
"Li, Yan",2018-2022
"Li, Yan",2019-2023
"Li, Yan",2020-2024
"Li, Yan-Yan",2016-2020
"Li, Yan-Yan",2017-2021
"Li, Yan-Yan",2018-2022
"Li, Yan-Yan",2019-2023
"Li, Yan-Yan",2020-2024
"Li, Yang",2020-2024
"Li, Yangqiuting",2018-2022
"Li, Yangqiuting",2019-2023
"Li, Yangqiuting",2020-2024
"Li, Ying",2019-2023
"Li, Ying",2020-2024
"Li, Yu",2020-2024
"Li, Yue",2020-2024
"Li, Yun",2019-2023
"Li, Yun",2020-2024
"Li, Zhen",2019-2023
"Li, Zhen",2020-2024
"Li, Zhi",2020-2024
"Liang, Yifei",2020-2024
"Lin, Ching-Hui",2020-2024
"Lin, Galvin Sim Siang",2020-2024
"Lin, Huann-Shyang",2010-2014
"Lin, Huann-Shyang",2011-2015
"Lin, Huann-Shyang",2012-2016
"Lin, Huann-Shyang",2013-2017
"Lin, Huann-Shyang",2014-2018
"Lin, Huann-Shyang",2015-2019
"Lin, Huann-Shyang",2017-2021
"Lin, Lijia",2013-2017
"Lin, Lijia",2016-2020
"Lin, Lijia",2017-2021
"Lin, Lijia",2020-2024
"Lin, Lin",2007-2011
"Lin, Lin",2008-2012
"Lin, Lin",2009-2013
"Lin, Lin",2010-2014
"Lin, Lin",2016-2020
"Lin, Lin",2018-2022
"Lin, Lin",2019-2023
"Lin, Lin",2020-2024
"Lin, Pei-Yi",2017-2021
"Lin, Shengjie",2017-2021
"Lin, Shengjie",2018-2022
"Lin, Shengjie",2019-2023
"Lin, Shengjie",2020-2024
"Lin, Shirley",2016-2020
"Lin, Shirley",2017-2021
"Lin, Shirley",2018-2022
"Lin, Shirley",2019-2023
"Lin, Shirley",2020-2024
"Lin, Xi",2018-2022
"Lin, Xi",2020-2024
"Lin, Yu-Cheng",2020-2024
"Lin, Yuqi",2020-2024
"Liu, Bing",2020-2024
"Liu, Bo",2020-2024
"Liu, Chang",2019-2023
"Liu, Chang",2020-2024
"Liu, Chunhong",2018-2022
"Liu, Chunhong",2019-2023
"Liu, Chunhong",2020-2024
"Liu, Dan",2019-2023
"Liu, Dan",2020-2024
"Liu, Huan",2020-2024
"Liu, Hui",2020-2024
"Liu, Jia",2019-2023
"Liu, Jia",2020-2024
"Liu, Jie",2016-2020
"Liu, Jie",2017-2021
"Liu, Jie",2019-2023
"Liu, Jie",2020-2024
"Liu, Jin",2017-2021
"Liu, Jin",2018-2022
"Liu, Jin",2019-2023
"Liu, Jin",2020-2024
"Liu, Jing",2018-2022
"Liu, Jing",2019-2023
"Liu, Jing",2020-2024
"Liu, Lu",2016-2020
"Liu, Lu",2017-2021
"Liu, Lu",2018-2022
"Liu, Lu",2019-2023
"Liu, Lu",2020-2024
"Liu, Min",2013-2017
"Liu, Min",2014-2018
"Liu, Min",2015-2019
"Liu, Min",2016-2020
"Liu, Min",2017-2021
"Liu, Min",2020-2024
"Liu, Ou Lydia",2008-2012
"Liu, Ou Lydia",2009-2013
"Liu, Ou Lydia",2010-2014
"Liu, Ou Lydia",2011-2015
"Liu, Ou Lydia",2012-2016
"Liu, Ou Lydia",2013-2017
"Liu, Ou Lydia",2014-2018
"Liu, Ou Lydia",2015-2019
"Liu, Ou Lydia",2016-2020
"Liu, Ou Lydia",2017-2021
