Author,Articles,Year Range,Average
"Huang, Futao",28,2009-2024,1.75
"Wei, MF",7,2002-2005,1.75
"Ye, Xiaoyang",7,2021-2024,1.75
"Han, Feifei",22,2012-2024,1.69
"Jiang, Shiyan",5,2022-2024,1.67
"Ha, Nguyen Thi Ngoc",5,2022-2024,1.67
"Huang, Ting",5,2022-2024,1.67
"Li, Qiujie",10,2018-2023,1.67
"He, Hao",5,2022-2024,1.67
"Wang, Donna",5,2013-2015,1.67
"Gao, Ruiqin",10,2019-2024,1.67
"Cheng, Zui",5,2018-2020,1.67
"Zhou, Sasha",5,2022-2024,1.67
"Yu, Mong-Lin",5,2021-2023,1.67
"Huang, Jian-Hao",5,2022-2024,1.67
"Xing, Wanli",15,2016-2024,1.67
"Li, Amy Y.",13,2017-2024,1.62
"Heng, Kimkong",8,2020-2024,1.6
"Liu, Ou Lydia",22,2011-2024,1.57
"Hu, Guangwei",14,2010-2018,1.56
"Fang, Ning",26,2008-2024,1.53
"Yang, Robin",3,2022-2023,1.5
"Xu, Zhen",3,2020-2021,1.5
"Xu, Xin",9,2019-2024,1.5
"Wang, Song",3,2023-2024,1.5
"Chen, Xiaobo",3,2019-2020,1.5
"Lai, Chee Sern",3,2019-2020,1.5
"Yang, Sohyun",6,2021-2024,1.5
"Zhang, Aimao",3,2011-2012,1.5
"Du, Yang",3,2020-2021,1.5
"Chen, Shuming",3,2018-2019,1.5
"Yan, Veronica X.",6,2021-2024,1.5
"Yin, Peng",3,2023-2024,1.5
"Wu, Rongxiu",3,2023-2024,1.5
"Wu, Jue",3,2023-2024,1.5
"Wu, Nancy",3,2019-2020,1.5
"Cheng, Zhao",3,2023-2024,1.5
"Cui, Le",3,2023-2024,1.5
"Lei, Charles",3,2023-2024,1.5
"Dai, Chih-Pu",3,2022-2023,1.5
"Li, You",3,2023-2024,1.5
"Wu, Jiaju",3,2021-2022,1.5
"Yun, Soyoung",3,2022-2023,1.5
"Wei, Siqing",3,2022-2023,1.5
"Du, Hongcui",3,2021-2022,1.5
"Li, Jinrui",3,2014-2015,1.5
"Xu, Qian",3,2023-2024,1.5
"Yuan, Shiyao",3,2023-2024,1.5
"Lin, Angel M. Y.",3,2019-2020,1.5
"Yue, Yun",3,2023-2024,1.5
"Lin, Jenny J.",3,2022-2023,1.5
"Wang, Peiwen",3,2023-2024,1.5
"Hu, Sihua",6,2019-2022,1.5
"Long, Christopher Sean",3,2023-2024,1.5
"Chang, Stephanie",3,2021-2022,1.5
"Long, Michele",3,2018-2019,1.5
"Zhao, Donglin",3,2023-2024,1.5
"Zhao, Dan",3,2020-2021,1.5
"Sun, Jeffrey C.",3,2023-2024,1.5
"He, Tao",3,2017-2018,1.5
"Chang, T",3,2001-2002,1.5
"Song, Jayoung",3,2019-2020,1.5
"Liu, Yuchen",3,2023-2024,1.5
"Song, Xu",3,2023-2024,1.5
"Qiu, Tairan",3,2023-2024,1.5
"Huang, Wanju",3,2023-2024,1.5
"Zheng, Juan",9,2019-2024,1.5
"Chang, Eunbi",3,2020-2021,1.5
"Lu, Min",3,2021-2022,1.5
"Ma, Boxuan",3,2021-2022,1.5
"Zheng, Peiwen",3,2023-2024,1.5
"Ouyang, Fan",3,2018-2019,1.5
"Pan, Gary",6,2018-2021,1.5
"Peng, Chew Fong",3,2023-2024,1.5
"Miao, Sanfeng",3,2023-2024,1.5
"Lu, Charles",3,2014-2015,1.5
Nguyen Thi Ngoc Ha,3,2022-2023,1.5
"Bao, Yu",3,2023-2024,1.5
"Gong, Yueying",3,2023-2024,1.5
"Wang, Karen D.",3,2023-2024,1.5
"Chen, Chen",9,2019-2024,1.5
"Tang, Kok-Sing",9,2019-2024,1.5
"Zhang, Jihong",3,2023-2024,1.5
"Wang, Jiangxia",3,2022-2023,1.5
"Zhang, Chengming",3,2023-2024,1.5
"Chen, I-Chien",3,2022-2023,1.5
"Gao, Ni",3,2023-2024,1.5
"Kang, Ye Ji",6,2021-2024,1.5
"Zhang, Qiantao",3,2017-2018,1.5
"He, Le",3,2017-2018,1.5
"Tan, Kelvin",3,2020-2021,1.5
"Tan, Kay See",3,2022-2023,1.5
"He, Dan",3,2023-2024,1.5
"Jiang, Yannan",3,2015-2016,1.5
"Tan, Liang See",3,2016-2017,1.5
"Jiang, Zhehan",3,2019-2020,1.5
"Lin, Shengjie",13,2016-2024,1.44
"Wang, Jiahui",10,2018-2024,1.43
"Zhang, You",7,2020-2024,1.4
"Er, Hui Meng",7,2020-2024,1.4
"Chen, Bodong",14,2015-2024,1.4
"Chong, Sin Wang",7,2020-2024,1.4
"Ha, Minsu",19,2011-2024,1.36
"Zhu, Wangda",4,2022-2024,1.33
"Yang, Shizhou",4,2022-2024,1.33
"Zheng, Yi",8,2019-2024,1.33
"Chang, Heesun",4,2022-2024,1.33
"Yu, Jaime C.",4,2022-2024,1.33
"Zhao, Yichen",4,2022-2024,1.33
"Zhao, CM",4,2004-2006,1.33
"An, Jiwoo",4,2020-2022,1.33
"Lu, Junrong",4,2022-2024,1.33
"Huang, Zhuo Min",4,2021-2023,1.33
"Ma, Hongming",4,2021-2023,1.33
"Fang, Jim",4,2022-2024,1.33
"Dou, Remy",12,2016-2024,1.33
"Lou, Nigel Mantou",12,2016-2024,1.33
"Duan, Suzhen",4,2022-2024,1.33
"Gao, Hong",4,2018-2020,1.33
"Tan, Angel J. Y.",4,2021-2023,1.33
"Hua, Ying",4,2022-2024,1.33
"Hu, Xinye",4,2020-2022,1.33
"Ha, Xuan Van",4,2022-2024,1.33
"Huang, Sijia",4,2022-2024,1.33
"An, Brian P.",16,2013-2024,1.33
"Guo, Lin",4,2021-2023,1.33
"Liu, Hairui",4,2020-2022,1.33
"Liu, Jin",8,2019-2024,1.33
"Lin, Yuqi",4,2021-2023,1.33
"Sun, Wenyang",4,2022-2024,1.33
"Chen, Yiran",4,2022-2024,1.33
"Long, Yishi",4,2022-2024,1.33
"Wu, Sally P. W.",4,2018-2020,1.33
"Long, Holly M.",4,2022-2024,1.33
"Dong, Ting",16,2013-2024,1.33
"Chen, Yan",13,2015-2024,1.3
"Zhang, Liang",22,2008-2024,1.29
"Xie, Kui",23,2007-2024,1.28
"Gong, Hee Jung",5,2021-2024,1.25
"Hou, Minghui",5,2021-2024,1.25
"Long, Susi",5,2020-2023,1.25
"Zhu, Xiwei",5,2021-2024,1.25
"Li, Huiyong",5,2021-2024,1.25
"Zheng, Jia",5,2021-2024,1.25
"Su, Yu",5,2016-2019,1.25
"Wang, Yanjun",5,2021-2024,1.25
"Chen, Shu-Ping",5,2021-2024,1.25
"Wang, Jiayi",5,2018-2021,1.25
"Chu, Tsz Lun (Alan)",5,2021-2024,1.25
"Xie, Jingrong",10,2017-2024,1.25
"Yu, Jing",5,2021-2024,1.25
"Wang, Cong",11,2016-2024,1.22
"Chang, Anna",11,2015-2023,1.22
"Tai, Robert H.",17,2007-2020,1.21
"Chen, Wenqian",6,2016-2020,1.2
"Hui, Bronson",6,2020-2024,1.2
"Shi, Dexin",6,2019-2023,1.2
"Sun, Ting",6,2020-2024,1.2
"Cheng, Ming",19,2009-2024,1.19
"Hu, SP",7,1999-2004,1.17
"Han, Cheon-Woo",7,2017-2022,1.17
"Cheng, Ying",7,2019-2024,1.17
"Ren, Xinyue",7,2019-2024,1.17
"Liu, Yang",8,2017-2023,1.14
"Heng, Tang T.",8,2017-2023,1.14
"Qi, Grace Yue",8,2018-2024,1.14
"Ding, Lin",17,2006-2020,1.13
"Cheng, Li",9,2017-2024,1.12
"Lin, Lin",18,2009-2024,1.12
"Zhang, Jie",18,2009-2024,1.12
"Chen, Yu (April)",9,2013-2020,1.12
"Rao, Namrata",9,2017-2024,1.12
"Liu, Yujuan",9,2017-2024,1.12
"Chen, H. Carrie",15,2010-2023,1.07
"Bao, Lei",18,2008-2024,1.06
