Author,Articles,Year Range,Average
Xie, Bin,1,2019-2019,1
Xie, Charles,7,2011-2022,0.58
Xie, Chun,1,2024-2024,1
Xie, Dong,2,2018-2020,0.67
Xie, Fei,1,2022-2022,1
Xie, Feng,1,2011-2011,1
Xie, Frank,1,2012-2012,1
Xie, Haiyan,3,2016-2019,0.75
Xie, Hu,1,2022-2022,1
Xie, Hui,2,2020-2020,2
Xie, Huichao,2,2017-2024,0.25
Xie, Huisheng,1,2021-2021,1
Xie, James,1,2015-2015,1
Xie, Jianling,2,2021-2024,0.5
Xie, Jingrong,10,2017-2024,1.25
Xie, Kui,23,2007-2024,1.28
Xie, Lei,1,2022-2022,1
Xie, Leyi,1,2024-2024,1
Xie, Lillian,1,2021-2021,1
Xie, Lindai,1,2024-2024,1
Xie, Mei,1,2024-2024,1
Xie, Ming,1,2024-2024,1
Xie, Mingrou,1,2020-2020,1
Xie, Qiuzhi,1,2022-2022,1
Xie, Quan,2,2019-2019,2
Xie, Ruoxin,1,2024-2024,1
Xie, SX,1,2002-2002,1
Xie, Tenglong,1,2024-2024,1
Xie, Wanying,1,2022-2022,1
Xie, Wen Yan,1,2020-2020,1
Xie, Xian Jin,1,2023-2023,1
Xie, Xiao,2,2024-2024,2
Xie, Xiaowen (Serina),1,2024-2024,1
Xie, Xiuge,1,2017-2017,1
Xie, Xiuye,3,2021-2024,0.75
Xie, Xiyao,1,2016-2016,1
Xie, XL,1,2001-2001,1
Xie, Xumeng,1,2024-2024,1
Xie, Y.,1,2024-2024,1
Xie, Yan,1,2014-2014,1
Xie, Yarong,1,2021-2021,1
Xie, Ying,5,2008-2019,0.42
Xie, Yue,1,2021-2021,1
Xin, Chua Wen,1,2021-2021,1
Xin, Huaibo,2,2016-2021,0.33
Xin, Joy,1,2017-2017,1
Xin, Joy F.,2,2016-2020,0.4
Xin, Ming,1,2015-2015,1
Xin, Yan P.,1,2022-2022,1
Xin, Yan Ping,5,2009-2020,0.42
Xin, Yue Mei,1,2019-2019,1
Xin, Zhexun,1,2024-2024,1
Xing, Congcong,2,2022-2024,0.67
Xing, Fei,1,2020-2020,1
Xing, Kuan,2,2016-2016,2
Xing, Lin,1,2016-2016,1
Xing, Minjie,2,2009-2016,0.25
Xing, Qi W.,1,2024-2024,1
Xing, Tao,2,2006-2006,2
Xing, Wanli,15,2016-2024,1.67
Xing, Xiujing,1,2024-2024,1
Xing, Xue,1,2023-2023,1
Xiong, Angela,1,2014-2014,1
Xiong, Chen Zhi,2,2024-2024,2
Xiong, Choua P.,2,2022-2023,1
Xiong, Glen L.,1,2022-2022,1
Xiong, Jie,2,2013-2023,0.18
Xiong, Odyssey,1,2023-2023,1
Xiong, Pa Kou,1,2023-2023,1
Xiong, Pheechai,1,2023-2023,1
Xiong, Shawn,1,2022-2022,1
Xiong, Soua,5,2016-2023,0.62
Xiong, Weiyan,3,2016-2019,0.75
Xiong, Wenting,1,2012-2012,1
Xiong, Yao,4,2015-2020,0.67
Xiong, Yiying,1,2018-2018,1
Xiong, Yu,1,2022-2022,1
Xiong, Ziyin,1,2021-2021,1
Xu Jing,1,2008-2008,1
Xu, Angie E.,1,2024-2024,1
Xu, Ann,1,2024-2024,1
Xu, Annie,1,2024-2024,1
Xu, Bing M.,1,2024-2024,1
Xu, Brian,1,2014-2014,1
Xu, Chuangzhou,1,2013-2013,1
Xu, Chunyu,2,2023-2024,1
Xu, Cora Lingling,9,2015-2024,0.9
Xu, Dafeng,1,2017-2017,1
Xu, Dan,1,2020-2020,1
Xu, David,1,2014-2014,1
Xu, Di,39,2011-2024,2.79
Xu, Emily L.,1,2022-2022,1
Xu, Fan,2,2024-2024,2
Xu, Feishi,1,2019-2019,1
XU, G,3,1995-1999,0.6
Xu, Haibo,1,2024-2024,1
Xu, Haixia,1,2007-2007,1
Xu, Haozhi,2,2013-2013,2
Xu, Honglei,1,2015-2015,1
Xu, Hongyun,1,2021-2021,1
Xu, Hui,5,2015-2024,0.5
Xu, Jiaman,1,2022-2022,1
Xu, Jiameng,1,2023-2023,1
Xu, Jian,1,2023-2023,1
Xu, Jianwei,1,2012-2012,1
Xu, Jianzhong,9,2013-2023,0.82
Xu, Jiayun,2,2016-2018,0.67
Xu, Jie,1,2021-2021,1
Xu, Jin,1,2014-2014,1
Xu, Jing,2,2012-2018,0.29
Xu, Jingjing,2,2012-2016,0.4
Xu, Jingwen,1,2024-2024,1
Xu, Jinqi,2,2019-2022,0.5
Xu, Jiyan,1,2024-2024,1
Xu, Joshua,1,2023-2023,1
Xu, Judy,2,2007-2011,0.4
Xu, Jun,3,2014-2020,0.43
Xu, Kate,1,2024-2024,1
Xu, Kate M.,2,2022-2022,2
Xu, Ke Tom,1,2023-2023,1
Xu, Kexin,1,2023-2023,1
Xu, Keye,2,2021-2022,1
Xu, Kunyong,1,2012-2012,1
Xu, Lei,4,2019-2024,0.67
Xu, Lihua,4,2013-2023,0.36
Xu, Likang,1,2018-2018,1
Xu, Lilong,1,2022-2022,1
Xu, Ling,1,2019-2019,1
Xu, Linlin,1,2018-2018,1
Xu, Lu,1,2022-2022,1
Xu, Luogen,1,2024-2024,1
Xu, Luyao,2,2021-2024,0.5
Xu, Mary Jue,1,2024-2024,1
Xu, Meimei,2,2024-2024,2
Xu, Melinda,1,2014-2014,1
Xu, Meng,1,2015-2015,1
Xu, Menglin,3,2021-2024,0.75
Xu, Mingkai,1,2024-2024,1
Xu, Mingming,1,2014-2014,1
Xu, Pei,1,2020-2020,1
Xu, Qian,3,2023-2024,1.5
Xu, Qin,1,2024-2024,1
Xu, Qingqing,1,2018-2018,1
Xu, Qiong,2,2014-2018,0.4
Xu, Qunyan,1,2015-2015,1
Xu, Ran,1,2019-2019,1
Xu, Ren-Hao,2,2024-2024,2
Xu, Rui,1,2021-2021,1
Xu, SH,1,2000-2000,1
Xu, Shangmou,2,2020-2024,0.4
Xu, Shi,1,2018-2018,1
Xu, Shijing,1,2015-2015,1
Xu, Shu,1,2024-2024,1
Xu, Shuangyu,1,2024-2024,1
Xu, Shuxiang,1,2023-2023,1
Xu, Shuya,1,2021-2021,1
Xu, Sihang,1,2023-2023,1
Xu, Sonya,1,2016-2016,1
Xu, Stella,1,2021-2021,1
Xu, Terry,1,2024-2024,1
Xu, Tim,2,2015-2017,0.67
Xu, Ting,2,2012-2024,0.15
Xu, Tingting,1,2024-2024,1
Xu, W.,1,2017-2017,1
Xu, Weichu,1,2022-2022,1
Xu, Weineng,1,2014-2014,1
Xu, Wenqian,1,2024-2024,1
Xu, WL,2,2003-2005,0.67
Xu, X,1,2004-2004,1
Xu, Xandro,1,2024-2024,1
Xu, Xia,1,2012-2012,1
Xu, Xianxuan,1,2016-2016,1
Xu, Xiao,3,2024-2024,3
Xu, Xiaohe,1,2022-2022,1
Xu, Xiaoming,1,2022-2022,1
Xu, Xiaoti,1,2008-2008,1
Xu, Xiaowei,2,2009-2017,0.22
Xu, Xiaoxiao,1,2019-2019,1
Xu, Xiaoyan,3,2014-2023,0.3
Xu, Xiaoying,5,2011-2016,0.83
Xu, Xicheng,1,2020-2020,1
Xu, Xin,9,2019-2024,1.5
Xu, Xinhao,7,2016-2024,0.78
Xu, Xu,1,2019-2019,1
Xu, Xue,1,2022-2022,1
XU, Y., I,1,2021-2021,1
Xu, Yan,1,2011-2011,1
Xu, Yangmeng,1,2024-2024,1
Xu, Yaoying,6,2006-2024,0.32
Xu, Yi,1,2024-2024,1
Xu, Yihan,1,2023-2023,1
Xu, Ying,1,2019-2019,1
Xu, Yiqiao,1,2019-2019,1
Xu, Yonghong,1,2015-2015,1
Xu, Yonghong Jade,8,2008-2018,0.73
Xu, Yue,1,2024-2024,1
Xu, Yujun,1,2022-2022,1
Xu, Yuwei,4,2021-2024,1
Xu, Zeyu,5,2012-2024,0.38
Xu, Zhen,3,2020-2021,1.5
Xu, Zheng,1,2020-2020,1
Xu, Zhenhua,1,2022-2022,1
Xu, Zhenjiang,1,2016-2016,1
Xu, Zhenyang,1,2023-2023,1
Xu, Zhihong,1,2024-2024,1
Xu, Zimu,1,2021-2021,1
Xu, Zixiang,1,2022-2022,1
Xuan Thu Dang,1,2017-2017,1
Xuan, Di,1,2020-2020,1
Xuan, Lim Ying,1,2018-2018,1
Xuan, Yueqing,1,2020-2020,1
Xuan, Ziming,1,2024-2024,1
Xuan-Thuc-Anh Cao,1,2021-2021,1
Xue, Crystal,1,2022-2022,1
Xue, Dihua,2,2016-2020,0.4
Xue, G,1,2005-2005,1
Xue, Hong,1,2023-2023,1
Xue, Lina,1,2020-2020,1
Xue, Mo,2,2015-2015,2
Xue, Qian-Li,1,2015-2015,1
Xue, Sarah Shan,1,2024-2024,1
Xue, Xiaofang,1,2024-2024,1
Xue, Xuejia,1,2020-2020,1
Xue, Yu,1,2015-2015,1
Xue, Yuan,2,2021-2024,0.5
Xue, Yuanxin,1,2023-2023,1
Xue, Yunlin,1,2021-2021,1
Xue, Zi-Ling,1,2023-2023,1
Yan, D,1,2005-2005,1
Yan, Dave,2,2021-2024,0.5
Yan, Eleanor F.,1,2024-2024,1
Yan, Elsa C. Y.,1,2020-2020,1
Yan, Erjia,1,2024-2024,1
Yan, Fan,1,2015-2015,1
Yan, Fei,1,2016-2016,1
Yan, Ge,2,2021-2023,0.67
Yan, Guangjie,1,2024-2024,1
Yan, Hongliang,1,2013-2013,1
Yan, Hongxin,1,2013-2013,1
Yan, James R.,1,2022-2022,1
Yan, Jiazhen,1,2024-2024,1
Yan, Jie,2,2008-2014,0.29
Yan, Jin,1,2022-2022,1
Yan, Jinzhe,1,2024-2024,1
Yan, Junpeng,1,2020-2020,1
Yan, Kin Cheung Adrian,1,2021-2021,1
Yan, Lili,1,2023-2023,1
Yan, Lin,1,2023-2023,1
Yan, Linda Hui,1,2016-2016,1
Yan, Lixiang,2,2022-2024,0.67
Yan, Lu (Wendy),1,2018-2018,1
Yan, Meng,1,2024-2024,1
Yan, Miu,1,2005-2005,1
Yan, Ning,1,2024-2024,1
Yan, Norman D.,1,2011-2011,1
Yan, Qi,1,2022-2022,1
Yan, Shudan,1,2024-2024,1
Yan, Veronica X.,6,2021-2024,1.5
Yan, Wei,1,2024-2024,1
Yan, Wenfan,4,2016-2022,0.57
Yan, Xiaoheng,2,2019-2019,2
Yan, Xiaoheng Kitty,1,2024-2024,1
Yan, Xin,1,2014-2014,1
Yan, Xun,6,2017-2024,0.75
Yan, Yan,1,2019-2019,1
Yan, Yaw Kai,1,2014-2014,1
Yan, Yichuan,1,2023-2023,1
Yan, Yifei,2,2022-2023,1
Yan, Yiqing,1,2023-2023,1
Yan, Yiqiu,2,2024-2024,2
Yan, Yu,3,2020-2023,0.75
Yan, Yue,1,2018-2018,1
Yan, Yueqi,2,2020-2023,0.5
Yan, Zheng,2,2010-2012,0.67
Yan, Zhiqing,1,2017-2017,1
Yan, Zi,2,2016-2020,0.4
Yang, Albert C. M.,1,2021-2021,1
Yang, Amy,2,2018-2021,0.5
Yang, Anthony D.,2,2017-2020,0.5
Yang, Ashlee,1,2023-2023,1
Yang, Bo Kyum,1,2023-2023,1
Yang, Changyu,1,2024-2024,1
Yang, Chen,2,2017-2018,1
Yang, Chenyi,1,2023-2023,1
Yang, Chia-chen,1,2022-2022,1
Yang, Chien-Hui,1,2014-2014,1
Yang, Chih-Hsuan,1,2024-2024,1
Yang, Chin,1,2012-2012,1
Yang, Chongming,1,2019-2019,1
Yang, Christine,1,2023-2023,1
Yang, Christopher C. Y.,4,2020-2023,1
Yang, Chunsheng,1,2022-2022,1
Yang, Chunyan,4,2019-2024,0.67
Yang, Connie Y.,1,2020-2020,1
Yang, Cynthia,1,2024-2024,1
Yang, Dai Fei,2,2013-2014,1
Yang, Dandan,2,2021-2024,0.5
Yang, Dazhi,5,2010-2017,0.62
Yang, Dong,4,2021-2024,1
Yang, Elaine,1,2024-2024,1
Yang, Elaine Chiao Ling,2,2023-2024,1
Yang, Ellen,1,2019-2019,1
Yang, EM,1,2003-2003,1
Yang, Emmy,1,2020-2020,1
Yang, Erin C.,1,2022-2022,1
Yang, Eunbae B.,2,2016-2020,0.4
Yang, Eunbyul,1,2023-2023,1
Yang, Evan,1,2023-2023,1
Yang, Fan,4,2021-2024,1
Yang, Fengrong,1,2018-2018,1
Yang, Frances M.,2,2023-2023,2
Yang, G,1,2005-2005,1
Yang, Guang,1,2016-2016,1
Yang, GZ,1,2005-2005,1
Yang, Haishan (Sam),1,2023-2023,1
Yang, Hanjun,1,2019-2019,1
Yang, Hannah,1,2010-2010,1
Yang, Hansen,1,2023-2023,1
Yang, Haoshu,1,2018-2018,1
Yang, Heayoung,1,2006-2006,1
Yang, Helen Hong,4,2012-2024,0.31
Yang, Hocheol,1,2024-2024,1
Yang, Hong,2,2022-2024,0.67
Yang, Hongyan,1,2024-2024,1
Yang, Hongzhi,4,2018-2024,0.57
Yang, Hsin-Jung,1,2024-2024,1
Yang, Hsin-Yen,1,2019-2019,1
Yang, Hsiu-Chun,1,2019-2019,1
Yang, Huan,1,2024-2024,1
Yang, Hui,2,2020-2021,1
Yang, Hyejin,2,2014-2022,0.22
Yang, Hyun,1,2013-2013,1
Yang, Il Ho,1,2020-2020,1
Yang, Il-Hyung,1,2024-2024,1
Yang, Ilun,1,2016-2016,1
Yang, Jack. X. X.,1,2023-2023,1
Yang, Jackie,1,2024-2024,1
Yang, Jae-Seok,1,2014-2014,1
Yang, James,1,2021-2021,1
Yang, James J.,1,2024-2024,1
Yang, Jenny,1,2015-2015,1
Yang, Jeong Eun,1,2013-2013,1
Yang, Jeong-Mo,1,2023-2023,1
Yang, Jerry A.,3,2021-2024,0.75
Yang, Jessica L.,2,2018-2018,2
Yang, Ji Seung,5,2017-2022,0.83
Yang, Ji Won,2,2021-2024,0.5
Yang, Ji Woong,1,2013-2013,1
Yang, Jia,1,2020-2020,1
Yang, Jiahua,1,2015-2015,1
Yang, Jia-Lin,1,2018-2018,1
Yang, Jianhua,1,2023-2023,1
Yang, Jie,4,2016-2020,0.8
Yang, Jin,1,2010-2010,1
Yang, Jin Hyang,1,2010-2010,1
Yang, Jin Sug,1,2022-2022,1
Yang, Jing,2,2013-2023,0.18
Yang, Jingyi,1,2023-2023,1
Yang, Jingzhen,1,2023-2023,1
Yang, Jinli,1,2022-2022,1
Yang, Jinsuk,1,2015-2015,1
Yang, Jinyu,1,2020-2020,1
Yang, Ji-Yeon,1,2024-2024,1
Yang, Joanna C.,1,2023-2023,1
Yang, JSR,1,2003-2003,1
Yang, Ju,1,2020-2020,1
Yang, Julius J.,2,2009-2015,0.29
Yang, Jun,2,2012-2018,0.29
Yang, Junghun,1,2022-2022,1
Yang, Junhe,1,2023-2023,1
Yang, Junyeong,1,2024-2024,1
Yang, Junyi,1,2023-2023,1
Yang, K,1,2000-2000,1
Yang, Kaidan,1,2023-2023,1
Yang, Kai-Ju,1,2012-2012,1
Yang, Kao Lee,1,2018-2018,1
Yang, Katherine,1,2022-2022,1
Yang, Kevin,2,2015-2019,0.4
Yang, Kristen,1,2021-2021,1
Yang, Kyung-Hwa,1,2014-2014,1
Yang, Lajlim,1,2015-2015,1
Yang, Lan,1,2021-2021,1
Yang, Lexie Zidanyue,1,2023-2023,1
Yang, Li,1,2024-2024,1
Yang, Lijing,7,2014-2023,0.7
Yang, Lili,5,2021-2022,2.5
Yang, Lin,1,2020-2020,1
Yang, Linda Hui,3,2013-2021,0.33
Yang, Ling-Yan,2,2014-2014,2
Yang, Liu,2,2021-2022,1
Yang, Liuning,1,2024-2024,1
Yang, Luanna,1,2014-2014,1
Yang, Ma Ga (Mark),1,2013-2013,1
Yang, Manshu,1,2024-2024,1
Yang, May,1,2019-2019,1
Yang, Meiheng,1,2010-2010,1
Yang, Meng-Jung,1,2021-2021,1
Yang, Mihi,1,2019-2019,1
Yang, Mike Z.,1,2021-2021,1
Yang, Min Jae,1,2021-2021,1
Yang, Mingyu,1,2024-2024,1
Yang, Min-Jeong,1,2022-2022,1
Yang, Minji,1,2011-2011,1
Yang, Minseok,1,2024-2024,1
Yang, Minwha,1,2011-2011,1
Yang, Mohan,4,2021-2024,1
Yang, Mona Ji Hyun,1,2024-2024,1
Yang, Mong-Lin,1,2019-2019,1
Yang, Monica M.,1,2022-2022,1
Yang, Nai-Jiin,2,2018-2021,0.5
Yang, NaYeon,1,2017-2017,1
Yang, Peidong,5,2014-2022,0.56
Yang, Pengfei,1,2024-2024,1
Yang, PH,1,1999-1999,1
Yang, Pinyi,1,2024-2024,1
Yang, Qi,1,2023-2023,1
Yang, Qian,2,2019-2021,0.67
Yang, Qing,1,2024-2024,1
Yang, Qiong,1,2019-2019,1
Yang, R,2,2000-2004,0.4
Yang, Rachel L.,2,2013-2023,0.18
Yang, Richen,1,2018-2018,1
Yang, Robin,3,2022-2023,1.5
Yang, Rong,1,2023-2023,1
Yang, Rongbin,1,2024-2024,1
Yang, Rui,7,2006-2022,0.41
Yang, Ruijia,1,2023-2023,1
Yang, Runde,1,2024-2024,1
Yang, Samantha,1,2019-2019,1
Yang, Samuel,1,2006-2006,1
Yang, Samuel C.,4,2016-2019,1
Yang, Sarah,1,2023-2023,1
Yang, Sarah Nagle,1,2018-2018,1
Yang, Se Jeong,1,2018-2018,1
Yang, Sharon,1,2024-2024,1
Yang, Shiyu,1,2021-2021,1
Yang, Shizhou,4,2022-2024,1.33
Yang, Shufan,1,2019-2019,1
Yang, Shuling,3,2022-2024,1
Yang, Sodie,1,2022-2022,1
Yang, Sohyun,6,2021-2024,1.5
Yang, Sojung,1,2014-2014,1
Yang, Song,1,2008-2008,1
Yang, Sooin,1,2023-2023,1
Yang, Sook Ching,1,2019-2019,1
Yang, Sook Ja,3,2020-2022,1
Yang, Sophia,1,2020-2020,1
Yang, Suann,2,2021-2024,0.5
Yang, Sung Ho,2,2023-2024,1
Yang, Sung-Un,1,2008-2008,1
Yang, Sun-Yi,1,2022-2022,1
Yang, Sylvia,1,2012-2012,1
Yang, Tiange,1,2022-2022,1
Yang, Tianrui,2,2021-2022,1
Yang, Tianxiao,2,2023-2024,1
Yang, Tianyu,1,2024-2024,1
Yang, Ting,1,2022-2022,1
Yang, Tong,3,2011-2020,0.3
Yang, Wai Yew,1,2024-2024,1
Yang, Weipeng,1,2020-2020,1
Yang, Weitao,1,2023-2023,1
Yang, WeiWei,1,2009-2009,1
Yang, Wenxin,1,2024-2024,1
Yang, Winson Fuzun,1,2022-2022,1
Yang, Wuqiang,1,2010-2010,1
Yang, Xiaopei,1,2021-2021,1
Yang, Xiaoxuan,1,2024-2024,1
Yang, Xigui,2,2024-2024,2
Yang, Xinyuan,1,2018-2018,1
Yang, Xuan,1,2020-2020,1
Yang, Xue,1,2018-2018,1
Yang, Yan,7,2011-2023,0.54
Yang, Yang,8,2014-2024,0.73
Yang, Yanxian,1,2015-2015,1
Yang, Yanyun,3,2011-2018,0.38
Yang, Yao,2,2023-2024,1
Yang, Yeongwook,1,2021-2021,1
Yang, Yesol,1,2020-2020,1
Yang, Yi,4,2010-2024,0.27
Yang, Yichen,1,2023-2023,1
Yang, Yicheng,1,2024-2024,1
Yang, Yihan,1,2023-2023,1
Yang, Ying,3,2020-2022,1
Yang, Yiwen,1,2024-2024,1
Yang, Yiyi,1,2018-2018,1
Yang, Yonggao,1,2022-2022,1
Yang, Yoon Kwon,1,2023-2023,1
Yang, You Lee,1,2021-2021,1
Yang, Young-Mo,1,2016-2016,1
Yang, Yu,1,2024-2024,1
Yang, Yuanyuan,4,2021-2024,1
Yang, Yuehai,1,2016-2016,1
Yang, Yuqi,1,2014-2014,1
Yang, Zhanxia,1,2024-2024,1
Yang, Zhaomin,1,2017-2017,1
Yang, Zhitong,1,2023-2023,1
Yang, Zi,1,2017-2017,1
Yao, Amy,1,2017-2017,1
Yao, B,1,2004-2004,1
Yao, Buwen,1,2023-2023,1
Yao, Christina,1,2023-2023,1
Yao, Christina W.,13,2019-2024,2.17
Yao, Esther S.,1,2016-2016,1
Yao, G,1,1998-1998,1
Yao, JTP,1,2000-2000,1
Yao, Lubov Markelovna,1,2021-2021,1
Yao, Qingjiang (Q J),1,2019-2019,1
Yao, Shengwei,1,2018-2018,1
Yao, Shih-Ying,1,2024-2024,1
Yao, Xiangquan,3,2020-2023,0.75
Yao, Xiaofang,1,2023-2023,1
Yao, Y.,1,2024-2024,1
Yao, Y. Lawrence,1,2005-2005,1
Yao, Yaya,1,2024-2024,1
Yao, Yuankun,3,2009-2023,0.2
Ye, Chen,1,2020-2020,1
Ye, Christine,1,2017-2017,1
Ye, Dan,3,2022-2022,3
Ye, Feifei,3,2009-2012,0.75
Ye, Hao,1,2022-2022,1
Ye, Huan Jacqueline,1,2009-2009,1
Ye, Huiyuan,4,2016-2020,0.8
Ye, J.,1,2019-2019,1
Ye, JB,1,2006-2006,1
Ye, Jian-Hong,1,2021-2021,1
Ye, Jiayu,1,2018-2018,1
Ye, Jing,3,2017-2022,0.5
Ye, Jingbo,1,2016-2016,1
Ye, Keyu,1,2022-2022,1
Ye, Lei,4,2011-2021,0.36
Ye, Li,8,2015-2024,0.8
Ye, Lichuan,2,2015-2024,0.2
Ye, Rebecca,4,2015-2022,0.5
Ye, Sangbeak,1,2020-2020,1
Ye, Sofie,2,2020-2024,0.4
Ye, Suying,1,2016-2016,1
Ye, Wangqiong,1,2024-2024,1
Ye, Xiaomeng,1,2020-2020,1
Ye, Xiaoyang,7,2021-2024,1.75
Ye, Yan,1,2024-2024,1
Ye, Yincheng,2,2017-2018,1
Ye, Zuo-Guang,1,2007-2007,1
Yi, Amanda K.,1,2017-2017,1
Yi, Eun P.,1,2015-2015,1
Yi, Eunseon,1,2023-2023,1
Yi, Fei,1,2013-2013,1
Yi, Gina,1,2024-2024,1
Yi, Hongtao,1,2021-2021,1
Yi, Hwang,2,2019-2020,1
Yi, Hyun Sook,1,2010-2010,1
Yi, Jacqueline,5,2020-2024,1
Yi, Jenny K.,1,2008-2008,1
Yi, Ji Soo,1,2020-2020,1
Yi, Jinseog,1,2013-2013,1
Yi, Jinseon,1,2024-2024,1
Yi, JK,1,1998-1998,1
Yi, Joanne,1,2024-2024,1
Yi, Jonathan S.,2,2021-2023,0.67
Yi, Kyoung June,1,2022-2022,1
Yi, Mun Y.,1,2019-2019,1
Yi, Pilnam,5,2014-2023,0.5
Yi, Sang Wook,1,2014-2014,1
Yi, Seonjeong,1,2018-2018,1
Yi, Sojung,1,2018-2018,1
Yi, Soohyun,3,2014-2024,0.27
Yi, Taeil,1,2015-2015,1
Yi, Tammy S. S.,1,2023-2023,1
Yi, Varaxy,7,2018-2024,1
Yi, William,1,2024-2024,1
Yi, Xiang,1,2022-2022,1
Yi, Yang,1,2023-2023,1
Yi, Yanqing,1,2023-2023,1
Yi, Yeojin,1,2023-2023,1
Yi, Yeong-Houn,1,2009-2009,1
Yi, Yeon-Sook,1,2021-2021,1
Yi, Yong Jeong,1,2019-2019,1
Yi, Youngjoo,1,2019-2019,1
Yi, Yu Hyone,1,2012-2012,1
Yin, Alexander C.,1,2013-2013,1
Yin, Burgess,1,2021-2021,1
Yin, C. J.,1,2020-2020,1
Yin, Chan Wai,1,2023-2023,1
Yin, Chengjiu,5,2013-2024,0.42
Yin, Guozhen,1,2023-2023,1
Yin, Helen L.,2,2015-2024,0.2
Yin, Hongbiao,1,2022-2022,1
Yin, Hongjun,1,2012-2012,1
Yin, Jason Z.,1,2012-2012,1
Yin, Jianjun,1,2023-2023,1
Yin, Jingjing,1,2020-2020,1
Yin, Kenneth,2,2023-2024,1
Yin, Khoo Yin,1,2022-2022,1
Yin, Liangyu,1,2024-2024,1
Yin, Lim Chin,1,2019-2019,1
Yin, Linda X.,1,2024-2024,1
Yin, Meihua,1,2024-2024,1
Yin, Melanie,1,2019-2019,1
Yin, Ming,1,2019-2019,1
Yin, Muchun,1,2012-2012,1
Yin, Ophelia,1,2015-2015,1
Yin, Peng,3,2023-2024,1.5
Yin, Shonna,1,2021-2021,1
Yin, Stella Xin,1,2024-2024,1
Yin, Taojie,1,2024-2024,1
Yin, Wei,1,2022-2022,1
Yin, Wenqiang,1,2019-2019,1
Yin, Xinying,1,2015-2015,1
Yin, Yin,1,2015-2015,1
Yin, Yue,6,2008-2020,0.46
Yin, Yufan,2,2023-2024,1
Yin, Zenong,2,2007-2008,1
Yin, Zhaoyi,1,2020-2020,1
Yin, Zihan,1,2018-2018,1
Ying Xian Wang,1,2022-2022,1
Ying, Anna,1,2023-2023,1
Ying, Darren Chen Yi,1,2022-2022,1
Ying, Irene,1,2024-2024,1
Ying, Michelle Theam,1,2014-2014,1
Ying, Yvonne,4,2019-2024,0.67
Yong, B.,1,2019-2019,1
Yong, Chee Weng,1,2024-2024,1
Yong, Ching Yee,1,2012-2012,1
Yong, David Gun Fie,1,2016-2016,1
Yong, Elaine,1,2014-2014,1
Yong, Elizabeth,1,2019-2019,1
Yong, Hua-Hie,1,2017-2017,1
Yong, Irene Seok-Ching,1,2024-2024,1
Yong, Janice J. Y.,1,2014-2014,1
Yong, Jonathan H. E.,1,2018-2018,1
Yong, Mei Fung,1,2024-2024,1
Yong, Minglee,1,2013-2013,1
Yong, Phaik Har,1,2022-2022,1
Yong, Poh Ling,1,2018-2018,1
Yong, Shee Mun,1,2022-2022,1
Yong, Shirley A.,1,2023-2023,1
Yong, Su,1,2013-2013,1
Yong, Su Ting,2,2016-2022,0.29
Yong, Tan Yuan,1,2022-2022,1
Yong, Valeda,1,2022-2022,1
Yong, Yu-Ping,1,2016-2016,1
Yong, Z,1,2003-2003,1
You, Chenjing (Julia),1,2016-2016,1
You, Di,1,2012-2012,1
You, Dokyoung S.,1,2023-2023,1
You, Hye Sun,5,2018-2022,1
You, Hyesun,1,2024-2024,1
You, Jacqueline Jing,1,2022-2022,1
You, JeongAe,3,2011-2019,0.33
You, Ji Won,9,2014-2024,0.82
You, Jieun,1,2016-2016,1
You, John J.,2,2012-2019,0.25
You, Jonathan,1,2024-2024,1
You, Jung S.,1,2022-2022,1
You, Kok Yeow,1,2019-2019,1
You, Mi-Ae,1,2016-2016,1
You, Songly,1,2015-2015,1
You, Sukkyung,6,2011-2017,0.86
You, Sula,1,2015-2015,1
You, Sun Young,1,2022-2022,1
You, Xiang,1,2021-2021,1
You, Zhuran,1,2008-2008,1
Yu, Alder,2,2022-2023,1
Yu, Alec,1,2021-2021,1
Yu, Alex,2,2019-2021,0.67
Yu, Alice Shihua,1,2024-2024,1
Yu, Alice Yunzi L.,1,2023-2023,1
Yu, Allyson,1,2023-2023,1
Yu, Anne,3,2011-2023,0.23
Yu, Betty,1,2023-2023,1
Yu, Brook,1,2021-2021,1
Yu, C. T.,3,2009-2019,0.27
Yu, Carol,1,2016-2016,1
Yu, Catherine,2,2021-2024,0.5
Yu, Catherine H.,1,2013-2013,1
Yu, Changhong,1,2012-2012,1
Yu, Chen Jiao,1,2013-2013,1
Yu, Chengcheng,1,2024-2024,1
Yu, Cheng-Han,1,2024-2024,1
Yu, Chengyuan,1,2024-2024,1
Yu, Chenxin,1,2024-2024,1
Yu, Cheryl,1,2024-2024,1
Yu, Chien,2,2014-2018,0.4
Yu, Chih-Huang,1,2016-2016,1
Yu, Clare Tsz Kiu,1,2022-2022,1
Yu, Clifton E.,2,2014-2016,0.67
Yu, D,1,2002-2002,1
Yu, D.,5,2018-2023,0.83
Yu, Daohai,2,2017-2023,0.29
Yu, Degan,1,2014-2014,1
Yu, Denny,1,2019-2019,1
Yu, Dickie C. T.,1,2009-2009,1
Yu, Dongning,1,2022-2022,1
Yu, Dongqing,1,2015-2015,1
Yu, Elizabeth,1,2019-2019,1
Yu, Eun-Jeong,1,2020-2020,1
Yu, Eustacia,1,2021-2021,1
Yu, Frank,2,2021-2024,0.5
